en187,Carly Simon - You're So Vain
en188,Wild Cherry - Play That Funky Music
en189,Lionel Richie - Say You Say Me
en190,The Knack - My Sharona
en191,Lionel Richie -All Night Long (All Night)
en192,Sinead O'Connor - Nothing Compares 2 U
en193,All-4-One - I Swear
en194,Mary J. Blige - Family Affair
en195,Foreigner - Waiting For A Girl Like You
en196,Elvis Presley With The Jordanaires - Are You Lonesome To-Night?
en197,Roberta Flack - Killing Me Softly With His Song
en198,John Cougar - Hurts So Good
en199,Puff Daddy & Faith Evans Featuring 112 - I'Ll Be Missing You
en200,Katy Perry Featuring Juicy J - Dark Horse
id1,Marion Jola Ft. Rayi Putra - Jangan
id2,Wizzy - Selamat Jalan Kekasih
id3,Via Vallen - Meraih Bintang
id4,Sheila on 7 - Film Favorit
id5,Agnes Mo - Matahariku
id6,Rizky Febrian Ft. Mikha Tambayong - Berpisah itu Mudah
id7,Tata Janeeta ft.Once Mekel - Disempurnakanlah Cinta
id8,Armand Maulana - Terluka
id9,Geisha - Kering Air Mataku
id10,Arsy Widianto & Brisia Jodie - Dengan Caraku
id11,Inna Kamarie - Cinta Terbaik
id12,Adi (Naff) - Usai Kisahku
id13,Afghan - Sudah
id14,G.A.C - Cinta Kita
id15,Anji - Indonesia Berpesta
id16,Fourtwnty - Kita Pasti Tua
id17,Bayu Risa & Monita Tahalea - Hadirmu
id18,Cakra Khan - Kemenangan
id19,Raisa - Lagu Untukmu
id20,Andien - Warna warna
id21,Ran - Kulari ke Pantai
id22,The Rain - Rencana Berbahaya
id23,Soulvibe - Sahabat Sejati
id24,Yuka Tamada - Puisi Cinta
id25,Claresta - Kaulah Segalanya
id26,Melly Goeslow & Hedi Yunus - Lagu Religi
id27,Tulus - Langit Abu-abu
id28,Gisel - Dengar Curhatku
id29,Yanna - Doa
id30,Kotak - Masih Ada
id31,Adipati Band - Lempar Batu Sembunyi Tangan
id32,Trio Wijaya - Tak Mau Dia Sendiri
id33,Yura Yunita - Takkan Apa
id34,Trio Lestari - Takdir itu Kamu
id35,Asteriska - Khayalku
id36,The Overtunes - Tak Bisa Kupercaya
id37,Virzha - Optimis
id38,Maria Simorangkir - Terbaik
id39,Dea - Kau pun Tahu
id40,Indra Sinaga - Menikmati Cinta
id41,Cindercella - Hati
id42,Rio Basier - Kisah
id43,Marcello Tahitoe (Ello) - Sampah Dunia Maya
id44,Hivi - Orang Ke 3
id45,Trisouls - Love
id46,Pee Wee Gaskins ft.Tuan Tigabelas - Dan
id47,Bayu Risaft.Monita Tahalea - Hadirmu
id48,Virzha - Hadirmu
id49,Maudy Ayunda - Oxygen
id50,Siti Badriah - Lagi Syantik
id51,Neona feat Ananta Vinnie - Warbiasyak
id52,Andmesh Kamaleng - Cinta Luar Biasa
id53,Virgoun with Last Child - Maha Pemilik Hati
id54,NOAH - Biar Ku Sendiri
id55,NOAH - Jalani Mimpi
id56,Virzha - Tentang Rindu
id57,STINKY Feat. YODA - Kepastian Darimu
id58,Lesti feat Fildan - Lebih dari Selamanya
id59,Payung Teduh - Diatas Meja
id60,Fourtwnty - Aku Tenang
id61,The Overtunes - Berlari Tanpa Kaki
id62,Iqbal Ramadhan -Rindu Sendiri (OST Dilan 1990)
id63,HIVI! - Remaja
id64,Virgoun - Bukti
id65,Young Lex Ft. MASGIB - Nyeselkan
id66,Jaz - Teman Bahagia
id67,Anji - Menunggu Kamu (OST Jelita Sejuba)
id68,Judika - Jikalau Kau Cinta
id69,Tata Janeeta feat Maia Estianty - Sang Penggoda
id70,Dinda Permata - Tak Sanggup Lagi
id71,Syahrini - Cintaku Kandas
id72,Bebizy - Berdiri Bulu Romaku
id73,Andika (Kangen Band) & DNingrat - Genting
id74,Tegar Septian - Tetaplah di Hati
id75,Maudy Ayunda - Aku Sedang Mencintaimu
id76,ABIRAMA - Tersenyum Lagi
id77,Ariff Bahran - Kata Akhirmu
id78,Gisel & Abirama - Sendirian
id79,Haqiem Rusli feat Aman Ra - Jatuh Bangun
id80,Nella Kharisma - Sabar Ini Ujian
id81,Adera - Serpihan Hati
id82,Slank - Terlalu Pahit
id83,Zigaz - Salahkah
id84,Via Vallen - Pak Polisi
id85,Yura Yunita - Harus Bahagia
id86,Mocca - Teman Sejati
id87,Five Minutes - Kita Harus Bicara
id88,Vidi Aldiano - Tak Sejalan
id89,Anji - Bidadari Tak Bersayap
id90,NOAH - My Situation
id91,J-Rocks - Selamat Jalan
id92,Shela-on 7 - Kita
id93,Senja - Perih
id94,Ardhito Pramono - Bila
id95,Endah N Rhesa - Melupakanmu
id96,Olla Rosa - Haruskah ku mati
id97,Isyana Sarasvati ft. Gamaliel - Terpesona
id98,Sandrina - Goyang 2 Jari
id99,Repvblik - Omong Kosong
id100,Azmi - Pernah
id101,RAN - Dekat Di Hati
id102,RAN - Pandangan Pertama
id103,Maliq & D'Essentials - Untitled
id104,Maliq & D'Essentials - Pilihanku
id105,Maliq & D'Essentials - Terdiam
id106,Maliq & D'Essentials - Himalaya
id107,Maliq & D'Essentials - Bagaimana Kutahu
id108,Hivi - Siapkah Kau 'Tuk Jatuh Cinta Lagi
id109,Andra and the Backbone - Sempurna
id110,Yura Yunita - Cinta dan Rahasia
id111,Kunto Aji - Topik Semalam
